topic_id_10top,topic_id_20top,value
0,0,54
0,1,5
0,10,9
0,11,327
0,12,5
0,13,14
0,14,119
0,15,43
0,16,10
0,17,25
0,18,14
0,19,76
0,2,12
0,3,34
0,4,42
0,5,97
0,6,88
0,7,165
0,8,30
0,9,7
1,0,5
1,1,6
1,10,66
1,11,42
1,12,34
1,13,137
1,14,24
1,15,19
1,16,11
1,17,44
1,18,44
1,19,12
1,2,5
1,3,215
1,4,18
1,5,123
1,6,14
1,7,43
1,8,22
1,9,53
2,0,370
2,1,25
2,10,13
2,11,60
2,12,67
2,13,5
2,14,9
2,15,20
2,16,94
2,17,28
2,18,92
2,19,17
2,2,21
2,3,50
2,4,28
2,5,208
2,6,133
2,7,147
2,8,32
2,9,66
3,0,20
3,1,5
3,10,4
3,11,104
3,12,9
3,13,13
3,14,6
3,15,87
3,16,1
3,17,14
3,18,2
3,19,3
3,2,1
3,3,10
3,4,5
3,5,24
3,6,10
3,7,12
3,8,57
3,9,5
4,0,178
4,1,7
4,10,13
4,11,29
4,12,13
4,13,178
4,14,15
4,15,9
4,16,58
4,17,16
4,18,12
4,19,23
4,2,12
4,3,141
4,4,28
4,5,52
4,6,123
4,7,43
4,8,78
4,9,56
5,0,56
5,1,8
5,10,4
5,11,40
5,12,18
5,13,7
5,14,124
5,15,31
5,16,58
5,17,15
5,18,123
5,19,32
5,2,71
5,3,72
5,4,29
5,5,73
5,6,79
5,7,35
5,8,622
5,9,64
6,0,28
6,1,5
6,10,28
6,11,45
6,12,19
6,13,13
6,14,72
6,15,24
6,16,70
6,17,12
6,18,44
6,19,34
6,2,13
6,3,74
6,4,93
6,5,59
6,6,8
6,7,39
6,8,26
6,9,36
7,0,13
7,1,2
7,10,35
7,11,41
7,12,15
7,13,135
7,14,11
7,15,11
7,16,15
7,17,3
7,18,6
7,19,23
7,2,22
7,3,72
7,4,61
7,5,1042
7,6,47
7,7,38
7,8,35
7,9,606
8,0,9
8,10,1
8,11,7
8,13,1
8,14,14
8,16,5
8,17,6
8,18,5
8,19,1
8,2,10
8,3,1
8,4,28
8,5,8
8,6,21
8,7,14
8,9,50
9,0,1336
9,1,117
9,10,138
9,11,1039
9,12,185
9,13,97
9,14,145
9,15,148
9,16,830
9,17,130
9,18,158
9,19,104
9,2,93
9,3,353
9,4,361
9,5,928
9,6,356
9,7,1391
9,8,608
9,9,490
